Date;Folder;Filename;config;aoa;sideslip;vw;Dpa;Pressure;Temp;Density;;rows;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_00;without;-5;20;0;-0,12;1004,89;20,5;1,192;;1;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_00;without;-5;14;0;-0,12;1004,85;20,5;1,192;;2;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_00;without;-5;12;0;-0,12;1004,85;20,5;1,192;;3;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_00;without;-5;10;0;-0,13;1004,85;20,5;1,192;;4;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_00;without;-5;8;0;-0,11;1004,85;20,5;1,192;;5;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_00;without;-5;6;0;-0,11;1004,82;20,5;1,192;;6;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_00;without;-5;4;0;-0,12;1004,82;20,5;1,192;;7;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_00;without;-5;2;0;-0,16;1004,8;20,5;1,192;;8;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_00;without;-5;0;0;-0,16;1004,8;20,5;1,192;;9;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_00;without;-5;-2;0;-0,12;1004,91;20,5;1,192;;10;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_00;without;-5;-4;0;-0,12;1004,96;20,5;1,192;;11;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_00;without;-5;-6;0;-0,12;1004,96;20,5;1,192;;12;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_00;without;-5;-8;0;-0,12;1004,96;20,5;1,192;;13;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_00;without;-5;-10;0;-0,12;1004,96;20,5;1,192;;14;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_00;without;-5;-12;0;-0,13;1004,96;20,5;1,192;;15;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_00;without;-5;-14;0;-0,13;1004,96;20,5;1,192;;16;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_00;without;-5;-20;0;-0,13;1004,96;20,5;1,192;;17;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_05;without;-5;-20;4,99;11,69;1005,42;20,6;1,192;;18;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_05;without;-5;-14;4,99;11,66;1005,45;20,6;1,192;;19;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_05;without;-5;-12;4,98;11,7;1005,52;20,6;1,193;;20;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_05;without;-5;-10;4,99;11,65;1005,47;20,6;1,193;;21;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_05;without;-5;-8;4,99;11,64;1005,5;20,6;1,193;;22;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_05;without;-5;-6;4,99;11,7;1005,51;20,6;1,193;;23;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_05;without;-5;-4;5;11,68;1005,49;20,6;1,193;;24;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_05;without;-5;-2;4,99;11,66;1005,48;20,6;1,193;;25;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_05;without;-5;0;5;11,68;1005,56;20,6;1,193;;26;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_05;without;-5;2;4,99;11,64;1005,51;20,6;1,193;;27;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_05;without;-5;4;4,99;11,68;1005,51;20,6;1,193;;28;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_05;without;-5;6;4,98;11,68;1005,51;20,6;1,193;;29;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_05;without;-5;8;4,98;11,64;1005,49;20,6;1,192;;30;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_05;without;-5;10;4,98;11,64;1005,52;20,6;1,193;;31;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_05;without;-5;12;4,98;11,69;1005,56;20,6;1,193;;32;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_05;without;-5;14;5,01;11,67;1005,51;20,6;1,193;;33;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_05;without;-5;20;5;11,68;1005,48;20,6;1,193;;34;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;20;10,02;47,18;1005,54;21;1,191;;35;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;14;10,03;47,19;1005,58;21;1,191;;36;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;12;10,03;47,19;1005,52;21;1,191;;37;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;10;10,03;47,22;1005,56;21,1;1,191;;38;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;8;10,02;47,18;1005,55;21,1;1,191;;39;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;6;10,03;47,16;1005,56;21,1;1,19;;40;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;4;10,03;47,23;1005,55;21,1;1,19;;41;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;2;10,03;47,21;1005,59;21,1;1,19;;42;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;0;10,03;47,15;1005,51;21,2;1,19;;43;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;-2;10,04;47,2;1005,59;21,2;1,19;;44;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;-4;10,03;47,12;1005,51;21,2;1,19;;45;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;-6;10,03;47,15;1005,51;21,2;1,19;;46;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;-8;10,04;47,15;1005,55;21,2;1,19;;47;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;-10;10,03;47,22;1005,53;21,2;1,19;;48;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;-12;10,03;47,15;1005,51;21,3;1,19;;49;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;-14;10,03;47,08;1005,53;21,3;1,19;;50;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;-20;10,03;47,15;1005,55;21,3;1,19;;51;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_15;without;-5;-20;15,02;105,5;1005,57;22;1,187;;52;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_15;without;-5;-14;15,02;105,47;1005,57;22,1;1,186;;53;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_15;without;-5;-12;15,02;105,48;1005,59;22,2;1,186;;54;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_15;without;-5;-10;15,02;105,48;1005,6;22,2;1,186;;55;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_15;without;-5;-8;15,02;105,4;1005,57;22,3;1,186;;56;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_15;without;-5;-6;15,03;105,49;1005,6;22,3;1,186;;57;;;;;;;;;
