channel,a,b,c,sideslip,vw
C_L,0.0,0.002571857868667751,0.23147959322989012,-20.0,5.0
C_D,0.0,0.0014965067609510451,0.9423024971164748,-20.0,5.0
C_S,0.0,-0.00043465432353323647,-0.38413310818688967,-20.0,5.0
C_roll,0.0,-0.01759321729182199,-0.7472573128517126,-20.0,5.0
C_pitch,0.0,-0.022531391166543315,-0.7713438940399917,-20.0,5.0
C_yaw,0.0,-0.014502938395395867,-1.7745658491836656,-20.0,5.0
C_L,0.0,0.001588011932014733,0.22711516724838285,-20.0,10.0
C_D,0.0,0.0010504427987348397,0.9023963285095804,-20.0,10.0
C_S,0.0,3.818687881034477e-05,-0.2637077576629902,-20.0,10.0
C_roll,0.0,-0.013811881083088243,-0.4988727129336372,-20.0,10.0
C_pitch,0.0,-0.020864864349514223,-0.8556830144094002,-20.0,10.0
C_yaw,0.0,-0.011939461777136296,-1.4979792726772168,-20.0,10.0
C_L,0.0,0.0010354617252390887,0.21978944439107878,-20.0,15.0
C_D,0.0,0.0005859852191438147,0.8926400122003824,-20.0,15.0
C_S,0.0,0.00015614016978748293,-0.23939499952943197,-20.0,15.0
C_roll,0.0,-0.012904245039484877,-0.445963718933617,-20.0,15.0
C_pitch,0.0,-0.019007362154784466,-0.8542324794436992,-20.0,15.0
C_yaw,0.0,-0.010450010023153683,-1.4330992009558754,-20.0,15.0
C_L,0.0,0.0009786341795674368,0.20660560444530193,-20.0,20.0
C_D,0.0,0.0005880085029636466,0.8777747580982559,-20.0,20.0
C_S,0.0,8.105911045028596e-05,-0.23241889185331446,-20.0,20.0
C_roll,0.0,-0.01274733983336962,-0.4233872815925912,-20.0,20.0
C_pitch,0.0,-0.01856879388186106,-0.8130228293701516,-20.0,20.0
C_yaw,0.0,-0.01038226032154689,-1.388135024372325,-20.0,20.0
C_L,0.0,0.0010969714796450422,0.2050106767256004,-20.0,25.0
C_D,0.0,0.0013509283270017813,0.866807781696304,-20.0,25.0
C_S,0.0,-0.00010187038639927434,-0.2276057879079111,-20.0,25.0
C_roll,0.0,-0.013122054992502128,-0.4075352970848531,-20.0,25.0
C_pitch,0.0,-0.019192842275594688,-0.8080471025513569,-20.0,25.0
C_yaw,0.0,-0.0115529975850405,-1.3660686360907628,-20.0,25.0
C_L,0.0,0.002808298933009981,0.22491632795282387,-14.0,5.0
C_D,0.0,0.0014162801067966419,0.8204703220512516,-14.0,5.0
C_S,0.0,-0.0004205497159644879,-0.2463426710227603,-14.0,5.0
C_roll,0.0,-0.011331918902811322,-0.4912932136296453,-14.0,5.0
C_pitch,0.0,-0.02478864125051312,-1.0223053026448043,-14.0,5.0
C_yaw,0.0,-0.010369875598461892,-1.2282725459067176,-14.0,5.0
C_L,0.0,0.0015382620099113117,0.2212781137007956,-14.0,10.0
C_D,0.0,0.0009644675399850212,0.7956090280260416,-14.0,10.0
C_S,0.0,-0.00028179246952020955,-0.15863725451565347,-14.0,10.0
C_roll,0.0,-0.009142789315912135,-0.3040134391776973,-14.0,10.0
C_pitch,0.0,-0.02140428481841786,-1.0525033096812781,-14.0,10.0
C_yaw,0.0,-0.008644553580988154,-1.0175562090126198,-14.0,10.0
C_L,0.0,0.0008166735946711609,0.2202755920811928,-14.0,15.0
C_D,0.0,0.0005507475566164851,0.7896328223406268,-14.0,15.0
C_S,0.0,6.78688405573971e-06,-0.1445619088194477,-14.0,15.0
C_roll,0.0,-0.008380294896658423,-0.27189582730903433,-14.0,15.0
C_pitch,0.0,-0.01934986746698364,-1.0480430757953176,-14.0,15.0
C_yaw,0.0,-0.007247470504212878,-0.9792204817405282,-14.0,15.0
C_L,0.0,0.0009395914706696186,0.21119714235134307,-14.0,20.0
C_D,0.0,0.0008669609311910748,0.7747520972754148,-14.0,20.0
C_S,0.0,-0.0003600771855218654,-0.14041628248551666,-14.0,20.0
C_roll,0.0,-0.008679053072768035,-0.25703611733828247,-14.0,20.0
C_pitch,0.0,-0.019092014661447707,-1.0081028090818016,-14.0,20.0
C_yaw,0.0,-0.008064138272843848,-0.9477032986718408,-14.0,20.0
C_L,0.0,0.0008051118761175201,0.21316697675153204,-14.0,25.0
C_D,0.0,0.0004333681932959142,0.7773196697226221,-14.0,25.0
C_S,0.0,-0.00026100251826012105,-0.1350048278304116,-14.0,25.0
C_roll,0.0,-0.008262330204036746,-0.24360336759680987,-14.0,25.0
C_pitch,0.0,-0.01841016563034617,-1.015203135812147,-14.0,25.0
C_yaw,0.0,-0.007408141327750243,-0.9371990549263894,-14.0,25.0
C_L,0.0,0.0030205759397677777,0.22996747099315248,-12.0,5.0
C_D,0.0,0.001362550617674803,0.787519395000752,-12.0,5.0
C_S,0.0,-0.0005490640903424143,-0.19733579784098873,-12.0,5.0
C_roll,0.0,-0.009658697911490642,-0.41015490387147246,-12.0,5.0
C_pitch,0.0,-0.025596722821960374,-1.1102390845462113,-12.0,5.0
C_yaw,0.0,-0.009328003437867861,-1.0507433643609267,-12.0,5.0
C_L,0.0,0.0014871841277696357,0.21435066563690555,-12.0,10.0
C_D,0.0,0.0007514601795545849,0.7594599425712134,-12.0,10.0
C_S,0.0,-0.0003775206324380275,-0.11985642509242085,-12.0,10.0
C_roll,0.0,-0.007550195101394641,-0.24583099123618726,-12.0,10.0
C_pitch,0.0,-0.02114725384417967,-1.0797577292784637,-12.0,10.0
C_yaw,0.0,-0.007260958350497195,-0.8512119460267769,-12.0,10.0
C_L,0.0,0.0009450781055349723,0.21955424369603035,-12.0,15.0
C_D,0.0,0.0005935296763113367,0.758925336786003,-12.0,15.0
C_S,0.0,-0.00019073259501080678,-0.11013693554109057,-12.0,15.0
C_roll,0.0,-0.007172047657404683,-0.21852004884612677,-12.0,15.0
C_pitch,0.0,-0.01973392925576857,-1.0975939078920447,-12.0,15.0
C_yaw,0.0,-0.006540936430021525,-0.8273140959223917,-12.0,15.0
C_L,0.0,0.0011701902521957473,0.21048507991526563,-12.0,20.0
C_D,0.0,0.0018817377829933068,0.7485519122049757,-12.0,20.0
C_S,0.0,-0.0023255661264099626,-0.11894723763036995,-12.0,20.0
C_roll,0.0,-0.00963612566232045,-0.22291796856110338,-12.0,20.0
C_pitch,0.0,-0.02009883549707449,-1.0488206816015162,-12.0,20.0
C_yaw,0.0,-0.011038702096251763,-0.8230027613985562,-12.0,20.0
C_L,0.0,0.0007992007565111861,0.2101068321270312,-12.0,25.0
C_D,0.0,0.0005706402629266812,0.7474965464449459,-12.0,25.0
C_S,0.0,-0.0002997881782804185,-0.10099534122683726,-12.0,25.0
C_roll,0.0,-0.006750160117335388,-0.1933820570447393,-12.0,25.0
C_pitch,0.0,-0.019074091406300314,-1.055238062940133,-12.0,25.0
C_yaw,0.0,-0.0064291498359332075,-0.7889932729049035,-12.0,25.0
C_L,0.0,0.0024864028155024056,0.21816822368826402,-10.0,5.0
C_D,0.0,0.000837114923065069,0.7484867792319762,-10.0,5.0
C_S,0.0,-0.0001316699052628783,-0.1482385614222443,-10.0,5.0
C_roll,0.0,-0.006945126608344101,-0.3341243055386895,-10.0,5.0
C_pitch,0.0,-0.023516838617209244,-1.1247600084093128,-10.0,5.0
C_yaw,0.0,-0.006266780529927236,-0.8557634411391741,-10.0,5.0
C_L,0.0,0.0016131968534349812,0.21384344030969984,-10.0,10.0
C_D,0.0,0.0007709837188988747,0.7316409771817219,-10.0,10.0
C_S,0.0,-0.00038930136031575856,-0.08460756463886214,-10.0,10.0
C_roll,0.0,-0.006017782706163768,-0.19688934841878372,-10.0,10.0
C_pitch,0.0,-0.021489658330155953,-1.1221137639546774,-10.0,10.0
C_yaw,0.0,-0.006097873354041003,-0.7006124909933392,-10.0,10.0
C_L,0.0,0.0009750610839359749,0.2137018664610737,-10.0,15.0
C_D,0.0,0.00042309467189907235,0.7249234079734619,-10.0,15.0
C_S,0.0,-0.00042877096305485437,-0.07456131889915144,-10.0,15.0
C_roll,0.0,-0.005674464897179905,-0.1695485300895106,-10.0,15.0
C_pitch,0.0,-0.019212789529002145,-1.1105449617282905,-10.0,15.0
C_yaw,0.0,-0.005529712724806291,-0.6694968325353391,-10.0,15.0
C_L,0.0,0.0008338671983978994,0.20975144853504588,-10.0,20.0
C_D,0.0,0.0004966171740741156,0.716143953913183,-10.0,20.0
C_S,0.0,-0.000316581147946719,-0.07397183021118289,-10.0,20.0
C_roll,0.0,-0.00540765757181764,-0.16203004072545246,-10.0,20.0
C_pitch,0.0,-0.019014969663585707,-1.0834488792567485,-10.0,20.0
C_yaw,0.0,-0.00522385917119043,-0.6567882992165376,-10.0,20.0
C_L,0.0,0.0005927446725657958,0.21033395500411936,-10.0,25.0
C_D,0.0,-5.131492220783063e-05,0.7183202532811419,-10.0,25.0
C_S,0.0,-0.00024644786101920256,-0.0710226124500673,-10.0,25.0
C_roll,0.0,-0.0051364006681360016,-0.15407404159361796,-10.0,25.0
C_pitch,0.0,-0.018081310001945093,-1.0825926723038741,-10.0,25.0
C_yaw,0.0,-0.004653357155069741,-0.6495869783734305,-10.0,25.0
C_L,0.0,0.003350708190672428,0.21733424074081242,-8.0,5.0
C_D,0.0,0.0011887793769818225,0.7206138191838337,-8.0,5.0
C_S,0.0,-0.00011957338846201374,-0.1108574284977189,-8.0,5.0
C_roll,0.0,-0.0056126561854700895,-0.27556273512814733,-8.0,5.0
C_pitch,0.0,-0.026120699788276726,-1.1629365683172252,-8.0,5.0
C_yaw,0.0,-0.005468316956535068,-0.6951633313388274,-8.0,5.0
C_L,0.0,0.0015527068231962237,0.21092946497849258,-8.0,10.0
C_D,0.0,0.0006674160191074597,0.7002809970348894,-8.0,10.0
C_S,0.0,-0.00028508288805045525,-0.06253765670322703,-8.0,10.0
C_roll,0.0,-0.004531788254100101,-0.16563560997698049,-8.0,10.0
C_pitch,0.0,-0.021038134139638492,-1.1314450334923465,-8.0,10.0
C_yaw,0.0,-0.0046201636005538645,-0.5672161118694021,-8.0,10.0
C_L,0.0,0.0008143246588690925,0.21224756017906451,-8.0,15.0
C_D,0.0,0.00044014661926736247,0.6973069376286366,-8.0,15.0
C_S,0.0,-0.0001794174471650608,-0.052880753501959005,-8.0,15.0
C_roll,0.0,-0.003930515849128401,-0.142449931082388,-8.0,15.0
C_pitch,0.0,-0.01893160363613363,-1.1301709392966064,-8.0,15.0
C_yaw,0.0,-0.0038198488368257123,-0.5420184314193531,-8.0,15.0
C_L,0.0,0.0007374353290409512,0.2091071480852423,-8.0,20.0
C_D,0.0,0.0001623127277106329,0.6884576230181731,-8.0,20.0
C_S,0.0,-0.0002561519685539206,-0.05380014164920663,-8.0,20.0
C_roll,0.0,-0.0038314372613722234,-0.1372174090888712,-8.0,20.0
C_pitch,0.0,-0.018119072650155495,-1.1000767992613152,-8.0,20.0
C_yaw,0.0,-0.0037163834873496,-0.5334265316940802,-8.0,20.0
C_L,0.0,0.0006715328982430599,0.20789130079259285,-8.0,25.0
C_D,0.0,0.0003893709534740877,0.6821521058212567,-8.0,25.0
C_S,0.0,-0.00017764404902585181,-0.05504523030731205,-8.0,25.0
C_roll,0.0,-0.003715755180025419,-0.13472186440552286,-8.0,25.0
C_pitch,0.0,-0.01824258465816422,-1.0860221027294645,-8.0,25.0
C_yaw,0.0,-0.003727049478458395,-0.5269976602611223,-8.0,25.0
C_L,0.0,0.00229481689153761,0.2212822571784314,-6.0,5.0
C_D,0.0,0.0007628627313786197,0.6844264382960478,-6.0,5.0
C_S,0.0,5.837618198084446e-05,-0.09281763589859947,-6.0,5.0
C_roll,0.0,-0.0038001562936679284,-0.23993754549971819,-6.0,5.0
C_pitch,0.0,-0.022821647263740162,-1.179656781206521,-6.0,5.0
C_yaw,0.0,-0.003497094503078692,-0.5505908145115341,-6.0,5.0
C_L,0.0,0.0012959023058215133,0.2103442419426778,-6.0,10.0
C_D,0.0,0.00045062942528657513,0.6713732988143121,-6.0,10.0
C_S,0.0,-0.00011593170841217251,-0.057433800278991615,-6.0,10.0
C_roll,0.0,-0.003215636668879089,-0.15490461150446644,-6.0,10.0
C_pitch,0.0,-0.01968470809577199,-1.13751817444199,-6.0,10.0
C_yaw,0.0,-0.0030054791893109833,-0.45895717581356993,-6.0,10.0
C_L,0.0,0.0007693544937362487,0.2101970732561365,-6.0,15.0
C_D,0.0,0.00018284860207017423,0.663609554350027,-6.0,15.0
C_S,0.0,-8.525428382532467e-05,-0.04893226470609224,-6.0,15.0
C_roll,0.0,-0.0029340619391555727,-0.13420944172104038,-6.0,15.0
C_pitch,0.0,-0.01780699961606266,-1.1230950386040772,-6.0,15.0
C_yaw,0.0,-0.0025763157870492895,-0.4324996622673005,-6.0,15.0
C_L,0.0,0.0008027056625695237,0.2059508466439553,-6.0,20.0
C_D,0.0,0.00025901164488298866,0.6562470446011096,-6.0,20.0
C_S,0.0,-0.00037112015124833803,-0.04850818761343794,-6.0,20.0
C_roll,0.0,-0.0032442881395367412,-0.13098876009776736,-6.0,20.0
C_pitch,0.0,-0.017640486236033755,-1.0956979777897007,-6.0,20.0
C_yaw,0.0,-0.0031663537327242465,-0.42694075857120567,-6.0,20.0
C_L,0.0,0.0008040362981854319,0.20440728906807468,-6.0,25.0
