channel,a,b,c,sideslip,vw
Cx,0.0,0.0026760408225421153,0.7193592865724664,20.0,5
Cy,0.0,0.004132226249126302,-0.579824434148703,20.0,5
Cz,0.0,-0.0031220417605563448,-0.21721293158406524,20.0,5
Cmx,0.0,0.0032204941349695867,-1.1974379242597772,20.0,5
Cmy,0.0,-0.006918203440532213,-1.48564193510432,20.0,5
Cmz,0.0,-0.0008795003539592108,0.3117984503524309,20.0,5
Cx,0.0,0.0012242750851532592,0.7425302396319567,20.0,10
Cy,0.0,0.0006856699439605341,-0.5414576974919928,20.0,10
Cz,0.0,-0.0014916118897130397,-0.21759601689924024,20.0,10
Cmx,0.0,-0.000455575491194246,-1.168233562472629,20.0,10
Cmy,0.0,-0.004978160798352923,-1.5180832319140003,20.0,10
Cmz,0.0,4.443067521697696e-05,0.3038119855258366,20.0,10
Cx,0.0,0.0009034788245299312,0.7443408642895158,20.0,15
Cy,0.0,0.00043871960338205164,-0.5296617490312066,20.0,15
Cz,0.0,-0.0009112295185386896,-0.21399852131461491,20.0,15
Cmx,0.0,-0.0005510976538731496,-1.146772197052049,20.0,15
Cmy,0.0,-0.004309552687614556,-1.5211446537211195,20.0,15
Cmz,0.0,-2.7797391929468844e-05,0.2981108261605904,20.0,15
Cx,0.0,0.0008118739121526646,0.7310252608668342,20.0,20
Cy,0.0,8.653579981218787e-05,-0.5238308936044024,20.0,20
Cz,0.0,-0.0008262580724237017,-0.20369385961821834,20.0,20
Cmx,0.0,-0.0013763209639084078,-1.1398571868746508,20.0,20
Cmy,0.0,-0.004738419945222454,-1.50467227843044,20.0,20
Cmz,0.0,0.00013571950888271195,0.2979232105071615,20.0,20
Cx,0.0,0.0008593296096380983,0.7296107750807146,20.0,25
Cy,0.0,-7.92734571541789e-05,-0.5262495385765514,20.0,25
Cz,0.0,-0.000823175578489738,-0.1952362456306652,20.0,25
Cmx,0.0,-0.0013909890695983165,-1.1472872034390484,20.0,25
Cmy,0.0,-0.004490327242300932,-1.50558723814607,20.0,25
Cmz,0.0,0.0002258164846308478,0.3006046008994213,20.0,25
Cx,0.0,0.0020234653204332926,0.7071239924487372,14.0,5
Cy,0.0,0.0019744550649933375,-0.34904285878006086,14.0,5
Cz,0.0,-0.002966611097358668,-0.21261370621768066,14.0,5
Cmx,0.0,0.000989057041803897,-0.7471891501483561,14.0,5
Cmy,0.0,-0.006328084999654844,-1.4563520063793356,14.0,5
Cmz,0.0,-0.00042539646945302607,0.14638971448273966,14.0,5
Cx,0.0,0.000989377531575256,0.7198529411066736,14.0,10
Cy,0.0,0.00015799129968395307,-0.3348588919431474,14.0,10
Cz,0.0,-0.0014964837688913539,-0.20882940714009715,14.0,10
Cmx,0.0,-0.0009195635989120964,-0.7406802747759476,14.0,10
Cmy,0.0,-0.004404605751610796,-1.4774518706352004,14.0,10
Cmz,0.0,0.00014215285101508085,0.1448195768156738,14.0,10
Cx,0.0,0.0004495473266706773,0.7171430848988061,14.0,15
Cy,0.0,-0.00018282753640552884,-0.3261605081810304,14.0,15
Cz,0.0,-0.0010212651943098344,-0.20623582126774542,14.0,15
Cmx,0.0,-0.0011004279629231325,-0.7276480851455326,14.0,15
Cmy,0.0,-0.0037241135667986916,-1.4733926584356023,14.0,15
Cmz,0.0,0.0002958961819385134,0.142987257521835,14.0,15
Cx,0.0,0.0003404196323587224,0.7061491654777314,14.0,20
Cy,0.0,-0.00017535233292910864,-0.32691854195151626,14.0,20
Cz,0.0,-0.0007124949378892162,-0.19815954307783382,14.0,20
Cmx,0.0,-0.0010595037076390108,-0.7284242193309035,14.0,20
Cmy,0.0,-0.0034284800073789297,-1.4629623824671605,14.0,20
Cmz,0.0,0.00026977513844371004,0.14548648607102568,14.0,20
Cx,0.0,0.0005762046973563344,0.7073722268753698,14.0,25
Cy,0.0,-0.0004063218468176897,-0.3250722066447976,14.0,25
Cz,0.0,-0.0008961827129759916,-0.19818581573094618,14.0,25
Cmx,0.0,-0.0013173029670383368,-0.722093896941322,14.0,25
Cmy,0.0,-0.003772259035954437,-1.4649144071049394,14.0,25
Cmz,0.0,0.00033277714698345457,0.14414098824272398,14.0,25
Cx,0.0,0.001533730295026414,0.7040550467557042,12.0,5
Cy,0.0,0.0013619389814574355,-0.27114428324526096,12.0,5
Cz,0.0,-0.0029487323584930676,-0.2086184013953387,12.0,5
Cmx,0.0,9.30919614563709e-05,-0.5908134733595618,12.0,5
Cmy,0.0,-0.005407691932274028,-1.4426040120449528,12.0,5
Cmz,0.0,0.00010698574146854015,0.08760824265927872,12.0,5
Cx,0.0,0.0006330140299176683,0.7084890508291042,12.0,10
Cy,0.0,-8.031615780007465e-05,-0.263803049831532,12.0,10
Cz,0.0,-0.0015394002440772892,-0.2090115553225674,12.0,10
Cmx,0.0,-0.0011016042592057373,-0.5921098385411148,12.0,10
Cmy,0.0,-0.004004384277165305,-1.4482953965194758,12.0,10
Cmz,0.0,0.0003809482473026476,0.08752980465678756,12.0,10
Cx,0.0,0.0005278945024307109,0.7064682285678306,12.0,15
Cy,0.0,-0.0004020384672577762,-0.2580394322653834,12.0,15
Cz,0.0,-0.0011264503451948503,-0.20252122704479164,12.0,15
Cmx,0.0,-0.0013355103380774528,-0.5861050081059,12.0,15
Cmy,0.0,-0.0037179249516084084,-1.4473303261119699,12.0,15
Cmz,0.0,0.0004447827776707837,0.08715610383649443,12.0,15
Cx,0.0,0.00023269463642802457,0.6980771239130268,12.0,20
Cy,0.0,-0.0003112351123087982,-0.2582437204307149,12.0,20
Cz,0.0,-0.0007826666647945728,-0.1964079493874834,12.0,20
Cmx,0.0,-0.0010790493394481986,-0.5811859435028449,12.0,20
Cmy,0.0,-0.0031738530545406853,-1.439976287000506,12.0,20
Cmz,0.0,0.00033462529114674215,0.08975576326210359,12.0,20
Cx,0.0,0.0007631903355974912,0.6929038996162163,12.0,25
Cy,0.0,-0.00040983344976261844,-0.25760623867309024,12.0,25
Cz,0.0,-0.0008483803358526692,-0.19254489398373784,12.0,25
Cmx,0.0,-0.0012001939224354208,-0.5763044616859874,12.0,25
Cmy,0.0,-0.0040597262064480675,-1.4325692642368952,12.0,25
Cmz,0.0,0.00034398849253685217,0.08789057419819327,12.0,25
Cx,0.0,0.0010632242427975733,0.6932268343756677,10.0,5
Cy,0.0,0.0006948827240638473,-0.1898513420232037,10.0,5
Cz,0.0,-0.00266705388429226,-0.2066605971878657,10.0,5
Cmx,0.0,0.00030326638962341226,-0.43248512161568153,10.0,5
Cmy,0.0,-0.004588769538032818,-1.4079269149516689,10.0,5
Cmz,0.0,-0.00011678495849027876,0.028241047427946413,10.0,5
Cx,0.0,0.0006645537854598941,0.6963626403317933,10.0,10
Cy,0.0,-0.0004985572769711855,-0.19573069233922505,10.0,10
Cz,0.0,-0.0016781769281856904,-0.20553627830005902,10.0,10
Cmx,0.0,-0.001334819747595877,-0.44784420892641075,10.0,10
Cmy,0.0,-0.004081267807409783,-1.4190703454532265,10.0,10
Cmz,0.0,0.0005163388779965765,0.033405791209896125,10.0,10
Cx,0.0,0.000465461866013562,0.6934188519369253,10.0,15
