channel,a,b,c,sideslip,vw
Cx,-7.449355202216505e-05,0.0030981697813633087,0.7300113296987477,20.0,5
Cy,-0.00043251722261714005,0.006583150388188464,-0.5179775764930706,20.0,5
Cz,-1.0623340499758119e-05,-0.0030618429978093134,-0.21569387016093786,20.0,5
Cmx,-0.0004536054361125163,0.005790917819489773,-1.1325756034732934,20.0,5
Cmy,4.293074164848551e-05,-0.0071614769693351555,-1.491780722946612,20.0,5
Cmz,0.00012834487411854555,-0.0016067859593707806,0.2934460547821251,20.0,5
Cx,2.5606486490393605e-05,0.0010791720636455333,0.738868695900936,20.0,10
Cy,-5.3315812736907404e-05,0.0009877920459196356,-0.5338339190417811,20.0,10
Cz,-2.0682316263450185e-05,-0.0013744124221980096,-0.2146385941584892,20.0,10
Cmx,-7.78716426505817e-05,-1.4304071836963104e-05,-1.1570984766388699,20.0,10
Cmy,-4.198531016999051e-05,-0.004740244699754624,-1.5120796339855782,20.0,10
Cmz,-1.4273444973833817e-05,0.00012531330602243398,0.30585298568349645,20.0,10
Cx,1.475125846444323e-05,0.0008198885914444474,0.7422315402330737,20.0,15
Cy,-5.675799258549652e-06,0.0004708823767557392,-0.5288501504856008,20.0,15
Cz,-2.3333692624357616e-05,-0.0007790056265964315,-0.21066197078932775,20.0,15
Cmx,-1.7822198303868938e-05,-0.00045010547656793644,-1.1442237506458217,20.0,15
Cmy,-4.48450726762579e-05,-0.004055431313036289,-1.5147321302854453,20.0,15
Cmz,-2.6547405622224057e-05,0.0001226374898892806,0.30190691457230523,20.0,15
Cx,2.6383349087708113e-05,0.0006623686814543475,0.727252631361741,20.0,20
Cy,-3.7900385904828844e-05,0.00030130405836114823,-0.5184114105189288,20.0,20
Cz,-3.698428887286869e-06,-0.0008053003667822777,-0.2031650108395328,20.0,20
Cmx,-4.9992887244351805e-05,-0.001093028720914755,-1.132708562913536,20.0,20
Cmy,-7.34684520283025e-05,-0.004322099870275771,-1.4941668172437619,20.0,20
Cmz,9.975170717969606e-06,7.919369805834622e-05,0.2964968327094129,20.0,20
Cx,1.7244700180295382e-05,0.0007616099126349847,0.7271449067601161,20.0,25
Cy,-1.2226827165059403e-05,-9.988295139924686e-06,-0.5245011900722263,20.0,25
Cz,2.989095484638946e-06,-0.0008401137393170325,-0.1956636648253019,20.0,25
Cmx,-3.581874389009198e-05,-0.0011880167497912524,-1.1421653802169125,20.0,25
Cmy,-5.8035030178275944e-05,-0.004161462982250307,-1.4972886454825043,20.0,25
Cmz,-9.918694233595868e-06,0.00028202226293026273,0.30202290296536677,20.0,25
Cx,-3.5894622999216443e-05,0.0022268676206676843,0.712256665838717,14.0,5
Cy,-0.00021377306306957956,0.0031858324001850934,-0.3184748455058794,14.0,5
Cz,3.6995518226585e-05,-0.003176251786601034,-0.2179037997214977,14.0,5
Cmx,-0.00022174280231127778,0.00224559610759985,-0.7154815213799028,14.0,5
Cmy,1.0950682056487398e-05,-0.006390138692751811,-1.4579178752949857,14.0,5
Cmz,7.894679514110332e-05,-0.0008727604027135592,0.13510088956169777,14.0,5
Cx,2.2070684024801557e-05,0.0008643106685387202,0.7166969917435827,14.0,10
Cy,-8.540060422061107e-05,0.00064192671642473,-0.3226472186576826,14.0,10
Cz,-3.8144369005274924e-05,-0.001280332943269598,-0.20337503622289219,14.0,10
Cmx,-0.00011621509006227875,-0.00026101324608821544,-0.7240623512421125,14.0,10
Cmy,-5.370844341196811e-05,-0.004100258748656017,-1.4697719488172754,14.0,10
Cmz,3.262203972793238e-05,-4.27048620508527e-05,0.1401548593385717,14.0,10
Cx,4.8392541312409177e-05,0.00017532368550451954,0.7102232989165671,14.0,15
Cy,-3.129604763266571e-05,-5.4837577323793915e-06,-0.32168539805383256,14.0,15
Cz,-3.504277122554271e-05,-0.0008226900407549855,-0.2012249565656859,14.0,15
Cmx,-5.365507814553116e-05,-0.0007963833623071779,-0.719975794177582,14.0,15
Cmy,-0.00010349098867955645,-0.0031376662554169227,-1.4585941900491277,14.0,15
Cmz,5.7333266646797244e-06,0.00026340742083308426,0.14216743297016027,14.0,15
Cx,3.3197662116041317e-05,0.00015230006812889097,0.7014021381317054,14.0,20
Cy,-2.4598685569107815e-05,-3.596016748950277e-05,-0.3234011065169163,14.0,20
Cz,-3.5726258025416874e-06,-0.0006922501144199867,-0.1976486832370865,14.0,20
Cmx,-4.497057588180521e-05,-0.0008046711501993111,-0.7219937498378635,14.0,20
Cmy,-8.740527732899632e-05,-0.002933184807824079,-1.450464055319382,14.0,20
Cmz,1.1908361118208463e-05,0.00020229461236273758,0.1437836759250314,14.0,20
Cx,-2.0755531285403757e-05,0.0006938190488465361,0.7103401188386259,14.0,25
Cy,5.170340279182791e-06,-0.0004356203605756743,-0.32581152818520437,14.0,25
Cz,4.3260003131443195e-06,-0.0009206966468464625,-0.19880440271799446,14.0,25
Cmx,6.0234509644183746e-06,-0.001351435761288282,-0.7229552071849646,14.0,25
Cmy,1.8245137618051668e-05,-0.0038756478627345733,-1.4675233307966784,14.0,25
