aoa,CL,CD,CL/CD,CS
-12.65,-0.23368104144294938,0.07949661193070967,-2.9395094428254245,-4.510994168013724e-17
-7.15,-0.07135044656516533,0.053286000535187894,-1.3390092303521337,-1.859121189043817e-17
-3.0,0.06723456133958242,0.04577249662298813,1.4688856038019888,-3.5393246266283674e-17
-2.25,0.10231546227639515,0.04536088450057382,2.2555879014021616,-4.366632810084696e-18
2.35,0.34107794013687237,0.049315640534859984,6.91622244865243,-1.428819522775254e-16
4.75,0.5198392550353048,0.05771469154897293,9.007052469373471,2.755648683585064e-17
6.75,0.6634832291602817,0.06759253624646759,9.815924449719928,8.839005627795328e-16
8.8,0.8036139219932025,0.08024326074328197,10.014721666959199,-1.1424284047642665e-15
10.95,0.9414625313354672,0.09589290978786554,9.817853409789862,1.936180668327952e-16
11.95,1.0019968990953714,0.10387873554288225,9.6458326514933,3.726466032774854e-17
12.8,1.0515514634541983,0.11095234513659644,9.477505519685995,2.5618942660009783e-16
14.0,1.1181767619019685,0.12132333149405089,9.216502284696976,-2.960174810521115e-16
15.75,1.207197358159991,0.13697334313312992,8.813374416850344,-8.586415861029304e-16
17.85,1.298579845581951,0.15594473926613653,8.327179561766329,5.949665032569731e-16
19.75,1.3441131079518214,0.17125996703227583,7.848378878284546,-6.29940470963038e-17
22.55,1.3257126442195764,0.1883288029320474,7.039351514902999,6.133056793055722e-16
24.0,1.305488567670269,0.19577411870548148,6.668340924237381,3.894722859867579e-16
