aoa,CL_no_stall,CL,CD_no_stall,CD,CL/CD_no_stall,CL/CD,CMx,CMx_stall,CMy,CMy_stall,CMz,CMz_stall
-12.65,-0.39978092158755124,-0.3997987685177741,0.07695073589826842,0.07715886033157465,-5.195283929656965,-5.181501732914658,-4.350049542266054e-18,-1.5623556774668864e-17,-0.2726855878872199,-0.27307543767501813,1.6711378464099305e-17,7.45607894381865e-18
-7.15,-0.3240287646364067,-0.32405125036156013,0.05556107353485428,0.05564541321949295,-5.831938514167453,-5.823503351180846,-1.0680138699845702e-16,4.7895084721332053e-17,-0.21207742458434387,-0.21256628669142763,6.077820926160976e-17,-1.825913499918885e-17
-3.0,-0.11632654723174889,-0.11996584682227848,0.0464536578802683,0.04649365068674034,-2.50414181659438,-2.5802630047395243,1.7787199163609385e-16,-9.491174646911207e-17,-0.06636486502397096,-0.06887055235276388,-8.64252217026214e-17,5.508663153552733e-17
-2.25,-0.05117478863882848,-0.053276680377390445,0.04557512420016491,0.04560515490854378,-1.1228666852134066,-1.1682161914421973,-1.2515671549932707e-17,-7.06932539236462e-17,-0.021379923072957455,-0.022829615573055656,7.662384621057803e-18,2.53397190522004e-17
2.35,0.33749278124364107,0.3374927812438023,0.049742402972780465,0.0497424029727809,6.78481056551129,6.78481056551447,1.2243484149677153e-16,1.731173726398116e-16,0.2564791512591011,0.2564791512592161,-6.991009654018362e-17,-1.3748927916181515e-16
4.75,0.5184478832408681,0.5184478832408681,0.05802016107355362,0.05802016107355362,8.935650533331312,8.935650533331312,-3.927911628778802e-16,-3.927911628778802e-16,0.3934273399161578,0.3934273399161578,3.0287529241891325e-16,3.0287529241891325e-16
6.75,0.6616469398784729,0.6616469398784729,0.06787817760914439,0.06787817760914439,9.747564875538695,9.747564875538695,-2.986341178367494e-16,-2.986341178367494e-16,0.5051077054477937,0.5051077054477937,1.5606235758288964e-16,1.5606235758288964e-16
8.8,0.8011545103355855,0.8011545103355855,0.08047654664741423,0.08047654664741423,9.955130329406687,9.955130329406687,-6.755196388160597e-16,-6.755196388160597e-16,0.6161060697182612,0.6161060697182612,4.184361648437764e-16,4.184361648437764e-16
10.95,0.9385060685123463,0.9385060685123463,0.09605665631044397,0.09605665631044397,9.770338720506818,9.770338720506818,-4.2164302730496904e-17,-4.2164302730496904e-17,0.7266115858747544,0.7266115858747544,-5.889145569165647e-17,-5.889145569165647e-17
11.95,0.9989858127439013,0.9989858127439013,0.10399641902162783,0.10399641902162783,9.605963572035543,9.605963572035543,2.4190036589984607e-16,2.4190036589984607e-16,0.7753354465250086,0.7753354465250086,-2.670009930652311e-16,-2.670009930652311e-16
12.8,1.0482064667997388,1.0482064667997388,0.11103736524623418,0.11103736524623418,9.440123732000103,9.440123732000103,7.737248528282638e-16,7.737248528282638e-16,0.8148367516143106,0.8148367516143106,1.15130321446277e-16,1.15130321446277e-16
14.0,1.114404077849932,1.114404077849932,0.12134280486406489,0.12134280486406489,9.183932076552464,9.183932076552464,5.773936065930205e-16,5.773936065930205e-16,0.8673085218135935,0.8673085218135935,-2.979214817342622e-16,-2.979214817342622e-16
15.75,1.2029070391740002,1.2029070391740002,0.1369130863977603,0.1369130863977603,8.785917188947968,8.785917188947968,-2.1074233186331926e-16,-2.1074233186331926e-16,0.9353701510455619,0.9353701510455619,3.29079515770789e-16,3.29079515770789e-16
17.85,1.2932610349004252,1.2932610349004252,0.1557219522194045,0.1557219522194045,8.304937206786907,8.304937206786907,-4.942527279695053e-16,-4.942527279695053e-16,1.0011707433044559,1.0011707433044559,9.034642143755294e-17,9.034642143755294e-17
19.75,1.3544135705742653,1.3544135705742653,0.17181712511119562,0.17181712511119562,7.882878785788807,7.882878785788807,3.5109205315872915e-16,3.5109205315872915e-16,1.0427619591711241,1.0427619591711241,-1.8779940845268737e-16,-1.8779940845268737e-16
22.55,1.3442627354711645,1.3442627354711645,0.19415917685233877,0.19415917685233877,6.923508624542111,6.923508624542111,2.0864401445044007e-16,2.0864401445044007e-16,1.0235037284045274,1.0235037284045274,1.1285384500777597e-16,1.1285384500777597e-16
24.0,1.3368473212968068,1.3368473212968068,0.2049962826696642,0.2049962826696642,6.521324698609457,6.521324698609457,1.445859470157509e-16,1.445859470157509e-16,1.012589823903324,1.012589823903324,-1.264533172969081e-16,-1.264533172969081e-16
