aoa_kite,C_L_mean,C_D_mean
1.000000000000000000e+00,3.757162452969794453e-01,1.045042971888671124e-01
2.000000000000000000e+00,3.752410098897774882e-01,1.022358827174160156e-01
3.000000000000000000e+00,4.082541598644479630e-01,9.747041407796248891e-02
4.000000000000000000e+00,4.720859956439503180e-01,1.041619118624033113e-01
5.000000000000000000e+00,5.204558652284602127e-01,1.211209549136965241e-01
6.000000000000000000e+00,5.750038213628135830e-01,1.184818597871856866e-01
7.000000000000000000e+00,6.156984735552423205e-01,1.091068797890247521e-01
8.000000000000000000e+00,6.453641612743069578e-01,1.154561548308432467e-01
9.000000000000000000e+00,6.522993174693668683e-01,1.237094281559951575e-01
1.000000000000000000e+01,6.627213736813408751e-01,1.285407884102519327e-01
1.100000000000000000e+01,6.694668238959929907e-01,1.341079760220692252e-01
1.200000000000000000e+01,6.676221097992398601e-01,1.408438097615858919e-01
