Date;Folder;Filename;config;aoa;sideslip;vw;Dpa;Pressure;Temp;Density
13-4-2024;;normal_aoa_16_vw_00;normal;16.2;1.8;0;-3.44;1022.62;25.7;1.192
6-4-2024;;normal_aoa_16_vw_05;normal;16.05;1.8;5.02;11.55;1006;28.2;1.164
13-4-2024;;normal_aoa_16_vw_10;normal;16.2;1.8;10.1;47.78;1022.63;26.1;1.19
13-4-2024;;normal_aoa_16_vw_15;normal;16.2;1.8;14.96;104.9;1022.7;26.7;1.189
13-4-2024;;normal_aoa_16_vw_15;normal;16.2;11.8;14.96;104.93;1022.7;26.4;1.189
13-4-2024;;normal_aoa_16_vw_15;normal;16.2;-8.2;14.96;104.96;1022.67;26.4;1.189
13-4-2024;;normal_aoa_16_vw_20;normal;16.2;1.8;19.8;184;1022.79;26.7;1.188
13-4-2024;Desktop;ZZnormal_aoa_16_vw_00;normal;16.2;1.8;0;-0.44;1022.35;25.3;1.193
13-4-2024;Desktop;ZZnormal_aoa_16_vw_05;normal;16.2;1.8;5.01;11.81;1022.3;24.8;1.196
13-4-2024;Desktop;ZZnormal_aoa_16_vw_10;normal;16.2;1.8;10.03;47.33;1022.25;24.9;1.195
13-4-2024;Desktop;ZZnormal_aoa_16_vw_15;normal;16.2;1.8;14.96;105;1022.27;25.5;1.193
13-4-2024;Desktop;ZZnormal_aoa_16_vw_15;normal;16.2;11.8;14.9;104.3;1022.2;25.8;1.191
13-4-2024;Desktop;ZZnormal_aoa_16_vw_15;normal;16.2;-8.2;14.91;104.22;1022.21;26;1.19
13-4-2024;Desktop;ZZnormal_aoa_16_vw_20;normal;16.2;1.8;19.8;1084;1022.18;27.2;1.185
